url,title_version,model_year,mileage,engine,transmission,fuel,price,description,inspection_score
https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-10909806,Honda City 1.3 i-VTEC 2011,2011,"120,244 km",1300 cc,Manual,Petrol,"PKR 27 lacs
Managed by PakWheels",LED Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2011 Registered 2011 1 key available,6.9
https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-karachi-10782905,Honda BR-V i-VTEC S 2022,2022,"33,125 km",1500 cc,Automatic,Petrol,"PKR 55 lacs
Financing starts at PKR 97,553/Month
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available,9.4
https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-10855869,Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2012,"222,878 km",1800 cc,Automatic,Petrol,"PKR 30 lacs
Managed by PakWheels",Documents available Hard Top without sunroof PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2012 Registered 2013 1 key available Android panel,7.2
https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-rawalpindi-10778379,Honda Civic VTi 1.6 2002,2002,"372,707 km",1600 cc,Manual,Petrol,"PKR 14 lacs
Managed by PakWheels",Army Officer driven PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2002 Registered 2002 Documents available 2 keys available,5.2
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10909673,Honda Civic 1.8 i-VTEC CVT 2017,2017,"47,862 km",1800 cc,Automatic,Petrol,"PKR 44 lacs
Financing starts at PKR 101,455/Month
Managed by PakWheels",Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9
https://www.pakwheels.com/used-cars/honda-br-v-2018-for-sale-in-lahore-10818665,Honda BR-V i-VTEC S 2018,2018,"46,170 km",1500 cc,Automatic,Petrol,"PKR 47 lacs
Financing starts at PKR 100,036/Month
Managed by PakWheels",PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2018 Registered 2018 Documents available 2 keys available,9.1
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-10839162,Honda Vezel Hybrid Z Style Edition 2015,2015,"82,442 km",1500 cc,Automatic,Hybrid,PKR 51 lacs,"Honda Vezel hybrid Model 2015 top of the Z pkg S grade verified auction sheet available it's a totally eye-catching colour recently new tyres installed total genuine just half trunk shower due to scratches everything is perfect Allhamdullah fuel average around 20/km If call doesn’t connect, feel free to contact me on WhatsApp",8.7
https://www.pakwheels.com/used-cars/honda-n-wgn-2016-for-sale-in-karachi-10877833,Honda N Wgn G L Package 2016,2016,"56,187 km",660 cc,Automatic,Petrol,"PKR 26.5 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2016 Import 2020 Registered 2020 1 key available,5.9
https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-10787406,Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,"86,073 km",1800 cc,Automatic,Petrol,"PKR 58.75 lacs
Financing starts at PKR 104,204/Month",Price is fixed agar samjh aye tou call kerey Civic UG Leather seats Sunroof Total Geneuin (one right back fender showered) Tires in great conditon,8.9
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10823857,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"82,059 km",1800 cc,Automatic,Petrol,"PKR 54 lacs
Financing starts at PKR 105,357/Month
Managed by PakWheels",- Ambient Lights - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,8.3
https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-10910236,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2016,2016,"135,936 km",1800 cc,Automatic,Petrol,"PKR 48.5 lacs
Financing starts at PKR 103,229/Month
Managed by PakWheels",Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2016 Registered 2016 1 key available,8.6
https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-10801349,Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,2013,"173,516 km",1800 cc,Automatic,Petrol,"PKR 31 lacs
Managed by PakWheels",- LED lights installed - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,8
https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-gujranwala-10875266,Honda Civic VTi Oriel 1.8 i-VTEC 2010,2010,"197,579 km",1800 cc,Manual,Petrol,"PKR 25.5 lacs
Managed by PakWheels",shower for fresh look Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2010 Registered 2010 2 keys available,4.7
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10836053,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"51,498 km",1800 cc,Automatic,Petrol,"PKR 55 lacs
Financing starts at PKR 97,553/Month
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,8.3
https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-10837453,Honda City 1.3 i-VTEC 2011,2011,"243,881 km",1300 cc,Manual,Petrol,"PKR 27 lacs
Managed by PakWheels",PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2011 Registered 2011 Documents available 2 keys available,5.2
https://www.pakwheels.com/used-cars/honda-city-2002-for-sale-in-lahore-10835946,Honda City EXi 2002,2002,"420,994 km",1300 cc,Manual,Petrol,"PKR 10.5 lacs
Managed by PakWheels",- Central Locking - Back Camera - Android Panel - Speakers - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2002 - Registered 2002 - 1 key available,2.7
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10771405,Honda Civic Turbo 1.5 VTEC CVT 2017,2017,"110,383 km",1500 cc,Automatic,Petrol,"PKR 51 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9
https://www.pakwheels.com/used-cars/honda-n-wgn-2016-for-sale-in-lahore-10872889,Honda N Wgn G 2016,2016,"175,601 km",660 cc,Automatic,Petrol,"PKR 27 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2016 Registered 2016 1 key available,6.4
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-islamabad-10797220,Honda Vezel 2015,2015,"118,019 km",1500 cc,Automatic,Hybrid,"PKR 49 lacs
Managed by PakWheels",Honda Vezel Hybrid Z Honda Sensing Documents available PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2015 Registered 2016 1 key available,7.9
https://www.pakwheels.com/used-cars/honda-br-v-2019-for-sale-in-karachi-10809172,Honda BR-V i-VTEC S 2019,2019,"77,464 km",1500 cc,Automatic,Petrol,"PKR 45 lacs
Financing starts at PKR 103,761/Month
Managed by PakWheels",Floor matts Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2019 Registered 2019 2 keys available,8.4
