url,title_version,model_year,mileage,engine,transmission,fuel,price,description,inspection_score
https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-rawalpindi-10789686,Honda Civic VTi 1.8 i-VTEC 2015,2015,"97,040 km",1800 cc,Manual,Petrol,PKR 35.5 lacs,Honda Civic Manual December 2015 Model • Invoice date 29 Dec 2015 • Islamabad Registered • Low mileage 97k • 2nd Owner • Total genuine except 1 fender • Original Smart Card • 2 Keys • Token tax paid • Stepney available • Fuel average • In city 13-14 km • On highway 15-16 km • Driven on HiOctane+Super • Regular Oil Changed after 5000 km • Very well maintained • Slight hailstorm spots (very less) • Used as a second car You would barely find a car in this immaculate condition Contact on phone/whatsapp Price negotiable on spot only,8.9
https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-10908996,Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,"100,510 km",1800 cc,Automatic,Petrol,"PKR 53 lacs
Financing starts at PKR 103,406/Month
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates not available - Token tax Cleared - 1st Owner - Manufacture 2020 - Registered 2020 - 2 keys available,6.4
https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-10855869,Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2012,"222,878 km",1800 cc,Automatic,Petrol,"PKR 30 lacs
Managed by PakWheels",Documents available Hard Top without sunroof PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2012 Registered 2013 1 key available Android panel,7.2
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-10773820,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"53,325 km",1800 cc,Automatic,Petrol,"PKR 49.95 lacs
Financing starts at PKR 106,315/Month",*Honda 1.8 Civic Oriel A/T UG* Navigation+ leather Model & Register 2018 1st Owner New Red Meter AC & Suspension 100% Bumper to Bumper Originals Inner & Outer all Original Sealed Engine Spare Wheel unused Brand New tyres install. PRICE IS FIRM & FINAL,9.1
https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-rawalpindi-10778379,Honda Civic VTi 1.6 2002,2002,"372,707 km",1600 cc,Manual,Petrol,"PKR 14 lacs
Managed by PakWheels",Army Officer driven PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2002 Registered 2002 Documents available 2 keys available,5.2
https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-karachi-10864618,Honda Civic VTi 1.8 i-VTEC 2015,2015,"32,667 km",1800 cc,Automatic,Petrol,"PKR 36.5 lacs
Managed by PakWheels",floor mates installed PakWheels inspected car Inspection report attached Number plates not issued yet 1st Owner Token Tax Paid Manufacture 2015 Registered 2016 Documents available 2 keys available,8.1
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10909673,Honda Civic 1.8 i-VTEC CVT 2017,2017,"47,862 km",1800 cc,Automatic,Petrol,"PKR 44 lacs
Financing starts at PKR 101,455/Month
Managed by PakWheels",Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9
https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-10787406,Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,"86,073 km",1800 cc,Automatic,Petrol,"PKR 58.75 lacs
Financing starts at PKR 104,204/Month",Price is fixed agar samjh aye tou call kerey Civic UG Leather seats Sunroof Total Geneuin (one right back fender showered) Tires in great conditon,8.9
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10823857,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"82,059 km",1800 cc,Automatic,Petrol,"PKR 54 lacs
Financing starts at PKR 105,357/Month
Managed by PakWheels",- Ambient Lights - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,8.3
https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-10889590,Honda Civic EXi 2005,2005,"296,988 km",1500 cc,Manual,Petrol,"PKR 20 lacs
Managed by PakWheels",- Android Panel - Back Camera - Seats Covers - Floor Matting - Fog Lights - Back Camera - Security System - Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 4th Owner - Manufacture 2005 - Registered 2005 - 1 key available,7.0
