url,title_version,model_year,mileage,engine,transmission,fuel,price,description
https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-islamabad-10914340,Honda City i-DSI 2005,2005,"124,023 km",1300 cc,Manual,Petrol,"PKR 23.25 lacs
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2005 - Registered 2005 - 2 keys available
https://www.pakwheels.com/used-cars/honda-cr-z-2011-for-sale-in-karachi-10871269,Honda CR-Z Alpha 2011,2011,"149,441 km",1500 cc,Automatic,Petrol,"PKR 34 lacs
Managed by PakWheels",Documents checked by pakwheels PakWheels inspected car Inspection report attached Number plates available 1rd Owner Token Tax Paid Manufacture 2011 Registered 2015 1 key available
https://www.pakwheels.com/used-cars/honda-insight-2019-for-sale-in-lahore-10864787,Honda Insight EX 2019,2019,"54,000 km",1500 cc,Automatic,Hybrid,PKR 79.95 lacs,Please read add completely before call all detail mention below Price is final + Showroom commission Honda Insight Hybrid Ex variant 4.5 grade verified auction sheet B2B genuine and scratchless even bumber are scratch-less & genuine Model 2019 Import & Reg 2022 First owner first hand Genuine milage 54000 100% guaranteed Inner brand new Batteries abs 100% Fresh video is available Again price is final Plus showroom commission will apply For visit Motorhub Showroom Plot No 53-E Maulana shaukat Ali road Johar town lahore.
https://www.pakwheels.com/used-cars/honda-vezel-2017-for-sale-in-lahore-10860480,Honda Vezel Hybrid Z 2017,2017,"80,000 km",1500 cc,Automatic,Hybrid,PKR 61 lacs,Inside out fully original. Just like a Zero Meter car.
https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-lahore-10912770,Honda City 1.3 i-VTEC 2015,2015,"94,000 km",1300 cc,Manual,Petrol,PKR 29.95 lacs,"Honda City 1.3 Manual Total Genuine Only 3 pieces showered (Left Back fender, Left back door arch and right side back door arch) Engine 100% Okay Suspension 100% Okay Ac Or Heater 100% Okay Seal To Seal Pack Biomatric On The Spot Available Just Buy And Drive Original aspire rims installed All Lubricants changed and tuning done recently bill available. Location: Judicial colony phase 2, Lahore Please Contact Me on Whatsapp Thankyou"
https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-lahore-10888097,Honda City 1.5 i-VTEC Prosmatec 2017,2017,"65,000 km",1500 cc,Automatic,Petrol,"PKR 38 lacs
Financing starts at PKR 94,360/Month",HONDA CITY 1.5 ASPIRe TOP OF THE LINE VARIANT MODEL 2017 MODULA BODYKITS ORIGINAL NON ACCIDENT TV BACK CAM INSTALLED TYRE RECENTLY INSTALLED ENGINE SUSPENSION AC CHILD INER SEAL 2 SEAL ALL DOCUMENTS CLEAR LOCATION LAHORE JUST BUY AND DRIVE
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-swabi-10915656,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"123,000 km",1800 cc,Automatic,Petrol,PKR 52 lacs,In showroom condition.total genuine only one frant halp pendar touching New tires installed recently. Yohokama worth 125000 watts Token tax is up to date. Looking to sell the car urgently.
https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-wah-cantt-10915711,Honda City 1.3 i-VTEC 2013,2013,"200,000 km",1300 cc,Manual,Petrol,PKR 29 lacs,looking like new genuin in colour minor touching alloe rim
https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-karachi-10892383,Honda Civic VTi Oriel Prosmatec 1.6 2005,2005,"126,000 km",1600 cc,Automatic,Petrol,PKR 17.75 lacs,Honda civic Oriel Prosmatec Suspension 100 percent Engine 100 percent Chilled AC Serious buyers only
https://www.pakwheels.com/used-cars/honda-n-box-2015-for-sale-in-peshawar-10830641,Honda N Box Custom 2015,2015,"95,000 km",658 cc,Automatic,Petrol,PKR 27 lacs,total genuine bumper to bumper first onwer fresh bio metric available
