Title,Price,Location,Link,Interval
PS4 pro jailbreak with 15 games installed.,"Rs 89,000","Khalabat Township, Haripur•",https://www.olx.com.pk/item/ps4-pro-jailbreak-with-15-games-installed-iid-1101649761,5 days ago
Realme 13 plus,"Rs 69,000","Main Bazar Road, Haripur•",https://www.olx.com.pk/item/realme-13-plus-iid-1101817827,19 hours ago
Samsung Mobile S9,"Rs 25,000","Khanpur, Haripur•",https://www.olx.com.pk/item/samsung-mobile-s9-iid-1101845296,13 minutes ago
Most Beautiful and stylish handbag by Handmade,Rs 2099,"Darvesh, Haripur•",https://www.olx.com.pk/item/most-beautiful-and-stylish-handbag-by-handmade-iid-1101845201,14 minutes ago
Talking Parrot Chicks,"Rs 4,300","Tarbela Road, Haripur•",https://www.olx.com.pk/item/talking-parrot-chicks-iid-1101845183,15 minutes ago
Donda Bakra For Sale In Haripur,"Rs 80,000","Talokar, Haripur•",https://www.olx.com.pk/item/donda-bakra-for-sale-in-haripur-iid-1101844899,22 minutes ago
urgent for sale,"Rs 85,000","Bagra, Haripur•",https://www.olx.com.pk/item/urgent-for-sale-iid-1101844401,37 minutes ago
Haier company,"Rs 38,000","Murad Abad, Haripur•",https://www.olx.com.pk/item/haier-company-iid-1101844060,48 minutes ago
Home Breed,"Rs 2,500","University Town, Haripur•",https://www.olx.com.pk/item/home-breed-iid-1101843914,53 minutes ago
Epson L805,"Rs 80,000","Rangeela Road, Haripur•",https://www.olx.com.pk/item/epson-l805-iid-1101842791,1 hour ago
iphone 12pro Non pta,"Rs 86,000","Main Bazar Road, Haripur•",https://www.olx.com.pk/item/iphone-12pro-non-pta-iid-1098932229,1 hour ago
Vivo v27e 256gb,"Rs 54,500","Talokar Road, Haripur•",https://www.olx.com.pk/item/vivo-v27e-256gb-iid-1098931292,1 hour ago
Samsung s22,"Rs 66,000","Others, Haripur•",https://www.olx.com.pk/item/samsung-s22-iid-1100697507,1 hour ago
Apple Watch Series 3,"Rs 13,500","Others, Haripur•",https://www.olx.com.pk/item/apple-watch-series-3-iid-1100383230,1 hour ago
Apple iPhone 13 with box,"Rs 85,000","Khalabat Township, Haripur•",https://www.olx.com.pk/item/apple-iphone-13-with-box-iid-1096954590,2 hours ago
